Cocktail Name,MidJourney Prompt
A1,"Flat lay, vintage speakeasy style. High-quality photo of a A1, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Gin, Grand Marnier, Lemon Juice, Grenadine. Instructions: Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Ace,"Flat lay, vintage speakeasy style. High-quality photo of a Ace, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Gin, Grenadine, Heavy cream, Milk, Egg White. Instructions: Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
ABC,"Flat lay, vintage speakeasy style. High-quality photo of a ABC, served in a cocktail glass, featuring Crémeux notes. Made with Amaretto, Baileys irish cream, Cognac. Instructions: Layered in a shot glass.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
ACID,"Flat lay, vintage speakeasy style. High-quality photo of a ACID, served in a cocktail glass, featuring Fruité notes. Made with 151 proof rum, Wild Turkey. Instructions: Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Adam,"Flat lay, vintage speakeasy style. High-quality photo of a Adam, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Dark rum, Lemon juice, Grenadine. Instructions: In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
AT&T,"Flat lay, vintage speakeasy style. High-quality photo of a AT&T, served in a cocktail glass, featuring Fruité notes. Made with Absolut Vodka, Gin, Tonic water. Instructions: Pour Vodka and Gin over ice, add Tonic and Stir. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
A. J.,"Flat lay, vintage speakeasy style. High-quality photo of a A. J., served in a cocktail glass, featuring Fruité, sucré notes. Made with Applejack, Grapefruit juice. Instructions: Shake ingredients with ice, strain into a cocktail glass, and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Karsk,"Flat lay, vintage speakeasy style. High-quality photo of a Karsk, served in a cocktail glass, featuring Fruité notes. Made with Coffee, Grain alcohol. Instructions: Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Melya,"Flat lay, vintage speakeasy style. High-quality photo of a Melya, served in a cocktail glass, featuring Fruité, sucré notes. Made with Espresso, Honey, Cocoa powder. Instructions: Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Casino,"Flat lay, vintage speakeasy style. High-quality photo of a Casino, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Gin, Maraschino liqueur, Lemon juice, Orange bitters, Cherry. Instructions: Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
