id,name,category,alcoholic,instructions,ingredients
101,A1,Cocktail,Alcoholic,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.","Gin, Grand Marnier, Lemon Juice, Grenadine"
102,Ace,Cocktail,Alcoholic,"Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.","Gin, Grenadine, Heavy cream, Milk, Egg White"
103,ABC,Shot,Alcoholic,"Layered in a shot glass.","Amaretto, Baileys irish cream, Cognac"
104,ACID,Shot,Alcoholic,"Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.","151 proof rum, Wild Turkey"
105,Adam,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Dark rum, Lemon juice, Grenadine"
106,AT&T,"Ordinary Drink",Alcoholic,"Pour Vodka and Gin over ice, add Tonic and Stir","Absolut Vodka, Gin, Tonic water"
107,"A. J.","Ordinary Drink",Alcoholic,"Shake ingredients with ice, strain into a cocktail glass, and serve.","Applejack, Grapefruit juice"
108,Karsk,"Ordinary Drink",Alcoholic,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.","Coffee, Grain alcohol"
109,Melya,"Coffee / Tea","Non alcoholic","Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.","Espresso, Honey, Cocoa powder"
110,Casino,"Ordinary Drink",Alcoholic,"Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.","Gin, Maraschino liqueur, Lemon juice, Orange bitters, Cherry"
111,Affair,"Ordinary Drink",Alcoholic,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.","Strawberry schnapps, Orange juice, Cranberry juice, Club soda"
112,Radler,"Ordinary Drink",Alcoholic,"Pour beer into large mug, slowly add the 7-up (or Sprite).","Beer, 7-Up"
113,Paloma,Cocktail,Alcoholic,"Stir together and serve over ice.","Grape Soda, Tequila"
114,Boxcar,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.","Gin, Triple sec, Lemon juice, Grenadine, Egg white"
115,Mimosa,"Ordinary Drink",Alcoholic,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.","Champagne, Orange juice"
116,Avalon,"Ordinary Drink",Alcoholic,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.","Vodka, Pisang Ambon, Apple juice, Lemon juice, Lemonade"
117,Apello,"Other / Unknown","Non alcoholic","Stirr. Grnish with maraschino cherry.","Orange juice, Grapefruit juice, Apple juice, Maraschino cherry"
118,Orgasm,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.","Creme de Cacao, Amaretto, Triple sec, Vodka, Light cream"
119,Ipamena,"Ordinary Drink","Non alcoholic","Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime","Lime, Brown sugar, Passion fruit juice, Ginger ale, Ice"
120,Zambeer,"Soft Drink",Alcoholic,"Mix sambuca with rootbeer and stir. Add ice","Sambuca, Root beer, Ice"
121,Bramble,"Ordinary Drink",Alcoholic,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.","Gin, lemon juice, Sugar syrup, Creme de Mure"
